	phenotype
782	E
783	I
784	M
785	I
786	I
787	I
788	I
789	I
790	I
791	M
792	I
793	I
794	I
795	I
796	I
797	I
798	I
799	P
800	I
801	P
802	E
803	I
804	E
805	I
806	E
807	I
808	I
809	E
810	E
811	I
812	I
813	I
814	I
815	E
816	I
817	I
818	M
819	E
820	I
821	I
822	I
823	I
824	I
825	I
826	I
827	P
828	E
829	E
830	P
831	E
832	P
833	M
834	I
835	M
836	M
837	I
838	M
839	I
840	I
841	I
842	Exh
843	I
844	I
845	E
846	I
847	E
848	I
849	Exh
850	I
851	Exh
852	Exh
853	M
854	E
855	E
856	I
857	I
858	E
859	I
860	I
861	M
862	E
863	I
864	I
865	I
866	Exh
867	I
868	I
869	E
870	I
871	E
872	I
873	I
874	I
875	I
876	I
877	P
878	M
879	I
880	I
881	I
882	I
883	I
884	E
885	I
886	I
887	Exh
888	I
889	I
890	E
891	E
892	E
893	I
894	I
895	E
896	I
897	M
898	I
899	I
900	E
901	I
902	I
903	I
904	I
905	I
906	E
907	I
908	I
909	I
910	I
911	I
912	I
913	I
914	I
915	I
916	I
917	M
918	I
919	I
920	E
921	Exh
922	E
923	I
924	E
925	I
926	I
927	I
928	I
929	E
930	I
931	P
932	I
933	E
934	I
935	P
936	E
937	I
938	I
939	I
940	M
941	E
942	P
943	E
944	I
945	I
946	I
947	I
948	I
949	I
950	I
951	E
952	I
953	E
954	I
955	P
956	I
957	I
958	E
959	I
960	I
961	E
962	I
963	I
964	E
965	I
966	E
967	Exh
968	I
969	I
970	E
971	I
972	E
973	I
974	I
975	P
976	I
977	E
978	I
979	E
980	P
981	E
982	I
983	I
984	I
985	I
986	E
987	I
988	I
989	Exh
990	I
991	E
992	I
993	P
994	I
995	I
996	I
997	I
998	I
999	I
1000	I
1001	I
1002	E
1003	E
1004	I
1005	I
1006	M
1007	E
1008	I
1009	I
1010	I
1011	P
1012	I
1013	E
1014	E
1015	E
1016	I
1017	I
1018	I
1019	I
1020	I
1021	E
1022	M
1023	I
1024	M
1025	E
1026	I
1027	M
1028	E
1029	I
1030	I
1031	I
1032	E
1033	E
1034	I
1035	I
1036	M
1037	I
1038	I
1039	I
1040	I
1041	I
1042	I
1043	E
1044	I
1045	E
1046	P
1047	P
1048	I
1049	M
1050	I
1051	I
1052	E
1053	I
1054	I
1055	I
1056	I
1057	E
1058	I
1059	E
1060	I
1061	I
1062	I
1063	E
1064	Exh
1065	I
1066	I
1067	E
1068	I
1069	Exh
1070	I
1071	I
1072	I
1073	I
1074	E
1075	I
1076	I
1077	I
1078	I
1079	I
1080	I
1081	I
1082	I
1083	I
1084	Exh
1085	E
1086	Exh
1087	E
1088	E
1089	I
1090	I
1091	I
1092	I
1093	I
1094	I
1095	I
1096	I
1097	I
1098	E
1099	E
1100	Exh
1101	E
1102	Exh
1103	M
1104	I
1105	E
1106	I
1107	P
1108	I
1109	I
1110	M
1111	I
1112	I
1113	I
1114	E
1115	P
1116	I
1117	M
1118	P
1119	I
1120	I
1121	I
1122	I
1123	I
1124	M
1125	I
1126	M
1127	E
1128	M
1129	I
1130	E
1131	P
1132	E
1133	Exh
1134	E
1135	E
1136	I
1137	E
1138	I
1139	I
1140	I
1141	Exh
1142	E
1143	E
1144	I
1145	I
1146	I
1147	M
1148	I
1149	I
1150	I
1151	I
1152	I
1153	I
1154	I
1155	P
1156	E
1157	E
1158	E
1159	E
1160	E
1161	P
1162	I
1163	E
1164	I
1165	E
1166	E
1167	E
1168	I
1169	I
1170	Exh
1171	I
1172	I
1173	I
1174	I
1175	E
1176	E
1177	I
1178	I
1179	E
1180	I
1181	P
1182	I
1183	E
1184	I
1185	I
1186	I
1187	I
1188	I
1189	Exh
1190	I
1191	I
1192	I
1193	P
1194	I
1195	I
1196	E
1197	E
1198	I
1199	I
1200	I
1201	E
1202	I
1203	I
1204	M
1205	I
1206	I
1207	I
1208	E
1209	M
1210	E
1211	E
1212	I
1213	E
1214	I
1215	Exh
1216	I
1217	I
1218	I
1219	I
1220	E
1221	Exh
1222	I
1223	I
1224	P
1225	I
1226	I
1227	I
1228	I
1229	M
1230	I
1231	E
1232	E
1233	I
1234	I
1235	I
1236	P
1237	E
1238	I
1239	M
1240	E
1241	I
1242	P
1243	I
1244	P
1245	I
1246	I
1247	I
1248	Exh
1249	I
1250	I
1251	E
1252	I
1253	P
1254	I
1255	I
1256	I
1257	E
1258	I
1259	I
1260	P
1261	I
1262	I
1263	I
1264	I
1265	I
1266	I
1267	I
1268	I
1269	I
1270	E
1271	I
1272	I
1273	Exh
1274	I
1275	Exh
1276	E
1277	I
1278	E
1279	I
1280	E
1281	I
1282	M
1283	I
1284	I
1285	E
1286	E
1287	I
1288	E
1289	I
1290	E
1291	E
1292	I
1293	E
1294	M
1295	I
1296	I
1297	I
1298	E
1299	E
1300	I
1301	Exh
1302	E
1303	I
1304	E
1305	I
1306	I
1307	E
1308	I
1309	E
1310	I
1311	M
1312	I
1313	Exh
1314	E
1315	I
1316	E
1317	I
1318	E
1319	I
1320	I
1321	E
1322	I
1323	I
1324	P
1325	I
1326	M
1327	I
1328	P
1329	I
1330	I
1331	I
1332	I
1333	I
1334	I
1335	M
1336	E
1337	I
1338	I
1339	I
1340	I
1341	I
1342	I
1343	Exh
1344	P
1345	I
1346	M
1347	I
1348	I
1349	I
1350	I
1351	P
1352	I
1353	I
1354	Exh
1355	I
1356	I
1357	I
1358	I
1359	E
1360	P
1361	I
1362	I
1363	I
1364	I
1365	I
1366	I
1367	I
1368	M
1369	I
1370	I
1371	Exh
1372	I
1373	E
1374	I
1375	I
1376	I
1377	E
1378	I
1379	E
1380	M
1381	Exh
1382	I
1383	I
1384	I
1385	E
1386	P
1387	E
1388	I
1389	M
1390	I
1391	I
1392	E
1393	I
1394	E
1395	E
1396	I
1397	E
1398	Exh
1399	E
1400	I
1401	I
1402	M
1403	I
1404	I
1405	P
1406	E
1407	E
1408	E
1409	I
1410	E
1411	I
1412	I
1413	I
1414	I
1415	I
1416	P
1417	I
1418	P
1419	I
1420	I
1421	E
1422	E
1423	E
1424	I
1425	I
1426	P
1427	I
1428	I
1429	I
1430	E
1431	I
1432	E
1433	E
1434	P
1435	I
1436	Exh
1437	I
1438	I
1439	E
1440	I
1441	I
1442	P
1443	E
1444	I
1445	E
1446	E
1447	M
1448	I
1449	E
1450	I
1451	E
1452	I
1453	E
1454	P
1455	I
1456	E
1457	I
1458	I
1459	I
