	phenotype
2922	P
2923	I
2924	I
2925	I
2926	Exh
2927	I
2928	M
2929	I
2930	I
2931	P
2932	Exh
2933	P
2934	E
2935	I
2936	Exh
2937	I
2938	I
2939	P
2940	I
2941	I
2942	E
2943	I
2944	Exh
2945	Exh
2946	E
2947	I
2948	I
2949	I
2950	P
2951	E
2952	I
2953	P
2954	I
2955	I
2956	P
2957	I
2958	M
2959	P
2960	E
2961	P
2962	I
2963	I
2964	I
2965	I
2966	I
2967	P
2968	E
2969	P
2970	I
2971	P
2972	Exh
2973	I
2974	I
2975	M
2976	Exh
2977	E
2978	P
2979	Exh
2980	E
2981	I
2982	I
2983	E
2984	I
2985	E
2986	I
2987	I
2988	P
2989	P
2990	I
2991	I
2992	Exh
2993	E
2994	E
2995	I
2996	E
2997	I
2998	E
2999	E
3000	E
3001	E
3002	M
3003	P
3004	E
3005	P
3006	E
3007	E
3008	E
3009	I
3010	E
3011	I
3012	E
3013	E
3014	E
3015	E
3016	I
3017	P
3018	E
3019	I
3020	P
3021	E
3022	E
3023	I
3024	E
3025	P
3026	I
3027	Exh
3028	I
3029	I
3030	E
3031	I
3032	E
3033	E
3034	E
3035	E
3036	E
3037	I
3038	I
3039	E
3040	E
3041	I
3042	P
3043	E
3044	E
3045	I
3046	I
3047	I
3048	E
3049	Exh
3050	E
3051	Exh
3052	E
3053	I
3054	I
3055	E
3056	E
3057	I
3058	I
3059	E
3060	E
3061	I
3062	I
3063	E
3064	E
3065	E
3066	P
3067	P
3068	E
3069	E
3070	I
3071	I
3072	I
3073	E
3074	I
3075	P
3076	M
3077	E
3078	P
3079	P
3080	I
3081	P
3082	E
3083	P
3084	P
3085	E
3086	I
3087	E
3088	E
3089	P
3090	E
3091	E
3092	E
3093	I
3094	E
3095	Exh
3096	I
3097	E
3098	I
3099	E
3100	E
3101	I
3102	I
3103	E
3104	P
3105	E
3106	E
3107	E
3108	E
3109	I
3110	E
3111	E
3112	M
3113	I
3114	I
3115	E
3116	P
3117	E
3118	E
3119	E
3120	I
3121	M
3122	E
3123	I
3124	E
3125	I
3126	Exh
3127	I
3128	E
3129	E
3130	E
3131	I
3132	M
3133	P
3134	E
3135	I
3136	I
3137	I
3138	I
3139	Exh
3140	Exh
3141	P
3142	P
3143	M
3144	E
3145	E
3146	E
3147	E
3148	I
3149	I
3150	E
3151	I
3152	I
3153	Exh
3154	E
3155	P
3156	Exh
3157	E
3158	E
3159	I
3160	Exh
3161	Exh
3162	E
3163	E
3164	E
3165	E
3166	E
3167	E
3168	I
3169	I
3170	E
3171	Exh
3172	E
3173	I
3174	E
3175	E
3176	P
3177	E
3178	P
3179	I
3180	I
3181	Exh
3182	I
3183	Exh
3184	Exh
3185	E
3186	I
3187	Exh
3188	I
3189	I
3190	E
3191	Exh
3192	Exh
3193	I
3194	E
3195	E
3196	E
3197	I
3198	E
3199	M
3200	I
3201	I
3202	E
3203	E
3204	I
3205	E
3206	E
3207	E
3208	E
3209	I
3210	I
3211	E
3212	I
3213	E
3214	E
3215	E
3216	I
3217	E
3218	E
3219	E
3220	E
3221	E
3222	I
3223	I
3224	I
3225	I
3226	E
3227	I
3228	E
3229	Exh
3230	P
3231	I
3232	I
3233	E
3234	I
3235	P
3236	E
3237	E
3238	E
3239	E
3240	P
3241	I
3242	I
3243	E
3244	I
3245	Exh
3246	I
3247	I
3248	E
3249	E
3250	E
3251	E
3252	E
3253	E
3254	E
3255	E
3256	E
3257	I
3258	P
3259	E
3260	I
3261	I
3262	E
3263	P
3264	E
3265	I
3266	E
3267	I
3268	E
3269	I
3270	E
3271	E
3272	E
3273	P
3274	I
3275	E
3276	E
3277	E
3278	M
3279	E
3280	I
3281	M
3282	E
3283	M
3284	E
3285	I
3286	E
3287	M
3288	E
3289	I
3290	I
3291	E
3292	P
3293	I
3294	I
3295	E
3296	E
3297	E
3298	Exh
3299	I
3300	E
3301	I
3302	I
3303	I
3304	E
3305	I
3306	E
3307	E
3308	P
3309	I
3310	I
3311	E
3312	I
3313	E
3314	E
3315	Exh
3316	I
3317	I
3318	E
3319	E
3320	I
3321	E
3322	E
3323	I
3324	E
3325	E
3326	I
3327	E
3328	Exh
3329	E
3330	I
3331	Exh
3332	E
3333	E
3334	E
3335	E
3336	E
3337	E
3338	E
3339	I
3340	I
3341	Exh
3342	I
3343	E
3344	I
3345	Exh
3346	E
3347	I
3348	I
3349	E
3350	E
3351	E
3352	E
3353	I
3354	P
3355	I
3356	I
3357	E
3358	I
3359	E
3360	E
3361	I
3362	E
3363	Exh
3364	P
3365	E
3366	E
3367	E
3368	I
3369	I
3370	E
3371	I
3372	E
3373	E
3374	I
3375	E
3376	I
3377	P
3378	E
3379	E
3380	E
3381	E
3382	I
3383	I
3384	Exh
3385	P
3386	E
3387	I
3388	I
3389	E
3390	E
3391	E
3392	E
3393	I
3394	E
3395	P
3396	E
3397	P
3398	I
3399	I
3400	E
3401	Exh
3402	E
3403	I
3404	E
3405	E
3406	I
3407	E
3408	E
3409	Exh
3410	E
3411	P
3412	I
3413	Exh
3414	I
3415	E
3416	I
3417	E
3418	I
3419	E
3420	E
3421	Exh
3422	I
3423	Exh
3424	E
3425	I
3426	M
3427	I
3428	E
3429	E
3430	P
3431	I
3432	M
3433	I
3434	Exh
3435	I
3436	E
3437	I
3438	E
3439	E
3440	P
3441	I
3442	E
3443	E
3444	I
3445	E
3446	Exh
3447	Exh
3448	I
3449	E
3450	I
3451	E
3452	E
3453	I
3454	Exh
3455	I
3456	E
3457	E
3458	E
3459	P
3460	E
3461	E
3462	I
3463	M
3464	E
3465	E
3466	Exh
3467	I
3468	I
3469	E
3470	E
3471	E
3472	E
3473	P
3474	M
3475	E
3476	M
3477	I
3478	E
3479	E
3480	E
3481	E
3482	E
3483	E
3484	I
3485	E
3486	E
3487	E
3488	E
3489	I
3490	I
3491	P
3492	I
3493	E
3494	I
3495	E
3496	E
3497	I
3498	I
3499	I
3500	Exh
3501	P
3502	I
3503	E
3504	E
3505	E
3506	M
3507	E
3508	I
3509	E
3510	I
3511	E
3512	P
3513	Exh
3514	P
3515	E
3516	E
3517	I
3518	E
3519	I
3520	Exh
3521	E
3522	E
3523	Exh
3524	I
3525	E
3526	I
3527	I
3528	I
3529	P
3530	E
3531	I
3532	E
3533	I
3534	E
3535	Exh
3536	E
3537	I
3538	I
3539	E
3540	I
3541	E
3542	E
3543	E
3544	P
3545	I
3546	Exh
3547	P
3548	E
3549	Exh
3550	E
3551	E
3552	E
3553	I
3554	M
3555	E
3556	E
3557	I
3558	E
3559	I
3560	P
3561	I
3562	P
3563	I
3564	P
3565	I
3566	I
3567	I
3568	I
3569	E
3570	I
3571	I
3572	I
3573	I
3574	E
3575	E
3576	I
3577	I
3578	I
3579	I
3580	P
3581	E
3582	I
3583	I
3584	I
3585	Exh
3586	E
3587	E
3588	P
3589	E
3590	Exh
3591	E
3592	I
3593	E
3594	E
3595	E
3596	M
3597	I
3598	E
3599	I
3600	E
3601	E
3602	E
3603	I
3604	I
3605	I
3606	P
3607	Exh
3608	P
3609	E
3610	I
3611	I
3612	I
3613	I
3614	E
3615	I
3616	I
3617	I
3618	I
3619	E
3620	E
3621	Exh
3622	E
3623	I
3624	E
3625	I
3626	I
3627	E
3628	E
3629	E
3630	Exh
3631	E
3632	E
3633	M
3634	E
3635	I
3636	E
3637	I
3638	I
3639	E
3640	I
3641	E
3642	I
3643	I
3644	E
3645	M
3646	I
3647	Exh
3648	E
3649	Exh
3650	E
3651	E
3652	P
3653	E
3654	E
3655	E
3656	E
3657	E
3658	E
3659	E
3660	I
3661	E
3662	E
3663	E
3664	E
3665	I
3666	I
3667	P
3668	P
3669	I
3670	I
3671	E
3672	I
3673	E
3674	E
3675	I
3676	Exh
3677	I
3678	P
3679	E
3680	I
3681	E
3682	M
3683	I
3684	P
3685	I
3686	I
3687	I
3688	Exh
3689	I
3690	I
3691	E
3692	I
3693	I
3694	E
3695	E
3696	E
3697	I
3698	I
3699	E
3700	I
3701	E
3702	E
3703	E
3704	E
3705	I
3706	M
3707	E
3708	I
3709	I
3710	I
3711	Exh
3712	I
3713	P
3714	Exh
3715	E
3716	P
3717	I
3718	E
3719	P
3720	E
3721	P
3722	I
3723	P
3724	E
3725	I
3726	E
3727	E
3728	P
3729	E
3730	E
3731	E
3732	E
3733	P
3734	E
3735	I
3736	I
3737	E
3738	E
3739	E
3740	E
3741	I
3742	E
3743	E
3744	E
3745	P
3746	E
3747	I
3748	E
3749	E
3750	E
3751	E
3752	I
3753	I
3754	E
3755	I
3756	E
3757	I
3758	E
3759	E
3760	I
3761	E
3762	P
3763	E
3764	I
3765	E
3766	I
3767	I
3768	E
3769	E
3770	E
3771	E
3772	I
3773	P
3774	Exh
3775	E
3776	Exh
3777	I
3778	E
3779	I
3780	E
3781	Exh
3782	E
3783	I
3784	E
3785	P
3786	I
3787	E
3788	P
3789	I
3790	I
3791	E
3792	I
3793	P
3794	I
3795	M
3796	I
3797	I
3798	I
3799	P
3800	I
3801	E
3802	E
3803	I
3804	P
3805	I
3806	E
3807	E
3808	I
3809	E
3810	E
3811	E
3812	E
3813	P
3814	I
3815	I
3816	I
3817	I
3818	E
3819	I
3820	E
3821	I
3822	E
3823	P
3824	I
3825	I
3826	I
3827	E
3828	I
3829	I
3830	E
3831	I
3832	I
3833	E
3834	I
3835	I
3836	Exh
3837	E
3838	P
3839	E
3840	E
3841	I
3842	E
3843	E
3844	E
3845	M
3846	I
3847	Exh
3848	I
3849	I
3850	E
3851	E
3852	Exh
3853	I
3854	I
3855	P
3856	E
3857	E
3858	E
3859	I
3860	E
3861	E
3862	I
3863	M
3864	E
3865	E
3866	E
3867	P
3868	P
3869	E
3870	E
3871	E
3872	E
3873	E
3874	E
3875	I
3876	P
3877	P
3878	E
3879	E
3880	E
3881	E
3882	I
3883	E
3884	E
3885	E
3886	I
3887	E
3888	E
3889	I
3890	E
3891	Exh
3892	E
3893	E
3894	Exh
3895	I
3896	E
3897	P
3898	E
3899	I
3900	E
3901	I
3902	E
3903	E
3904	E
3905	E
3906	I
3907	E
3908	E
3909	P
3910	I
3911	E
3912	E
3913	E
3914	E
3915	P
3916	P
3917	I
3918	E
3919	I
3920	P
3921	I
3922	I
3923	P
3924	Exh
3925	I
3926	I
3927	E
3928	I
3929	E
3930	P
3931	P
3932	I
3933	I
3934	E
3935	E
3936	I
3937	E
3938	E
3939	E
3940	E
3941	P
3942	E
3943	I
3944	P
3945	I
3946	E
3947	I
3948	P
3949	E
3950	E
3951	Exh
3952	I
3953	E
3954	E
3955	E
3956	I
3957	I
3958	E
3959	E
3960	E
3961	I
3962	P
3963	I
3964	E
3965	E
3966	I
3967	E
3968	E
3969	E
3970	E
3971	I
3972	I
3973	I
3974	I
3975	I
3976	I
3977	I
3978	I
3979	I
3980	I
3981	I
3982	I
3983	I
3984	E
3985	I
3986	I
3987	E
3988	I
3989	P
3990	I
3991	I
3992	E
3993	I
3994	I
3995	I
3996	I
3997	I
3998	E
3999	E
4000	E
4001	I
4002	E
4003	I
4004	I
4005	I
4006	I
4007	I
4008	I
4009	P
4010	I
4011	I
4012	I
4013	I
4014	P
4015	I
4016	I
4017	I
4018	I
4019	I
4020	I
4021	E
4022	I
4023	E
4024	I
4025	I
4026	I
4027	I
4028	I
4029	I
4030	I
4031	E
4032	I
4033	I
4034	I
4035	P
4036	I
4037	E
4038	I
4039	I
4040	I
4041	I
4042	I
4043	E
4044	I
4045	I
4046	E
4047	I
4048	E
4049	I
4050	I
4051	I
4052	I
4053	I
4054	I
4055	I
4056	Exh
4057	E
4058	P
4059	E
4060	P
4061	I
4062	I
4063	I
4064	I
4065	I
4066	I
4067	E
4068	I
4069	E
4070	I
4071	I
4072	I
4073	Exh
4074	I
4075	I
4076	P
4077	I
4078	I
4079	E
4080	I
4081	I
4082	I
4083	I
4084	I
4085	I
4086	I
4087	I
4088	P
4089	I
4090	E
4091	I
4092	P
4093	I
4094	I
4095	I
4096	I
4097	I
4098	I
4099	I
4100	I
4101	P
4102	P
4103	I
4104	I
4105	Exh
4106	I
4107	I
4108	I
4109	I
4110	I
4111	E
4112	Exh
4113	E
4114	E
4115	E
4116	I
4117	I
4118	I
4119	I
4120	E
4121	I
4122	I
4123	I
4124	P
4125	I
4126	Exh
4127	I
4128	I
4129	I
4130	I
4131	I
4132	E
4133	I
4134	I
4135	P
4136	I
4137	I
4138	P
4139	I
4140	I
4141	I
4142	E
4143	E
4144	I
4145	I
4146	I
4147	I
4148	P
4149	I
4150	I
4151	I
4152	I
4153	I
4154	I
4155	I
4156	I
4157	I
4158	P
4159	I
4160	E
4161	I
4162	I
4163	I
4164	I
4165	I
4166	I
4167	E
4168	E
4169	I
4170	P
4171	Exh
4172	I
4173	P
4174	I
4175	E
4176	I
4177	E
4178	I
4179	I
4180	E
4181	Exh
4182	E
4183	I
4184	P
4185	I
4186	I
4187	I
4188	P
4189	I
4190	I
4191	I
4192	I
4193	Exh
4194	P
4195	I
4196	I
4197	I
4198	E
4199	I
4200	I
4201	I
4202	E
4203	I
4204	I
4205	I
4206	E
4207	I
4208	I
4209	I
4210	I
4211	E
4212	I
4213	I
4214	I
4215	I
4216	Exh
4217	I
4218	I
4219	I
4220	E
4221	I
4222	I
4223	I
4224	E
4225	I
4226	I
4227	I
4228	I
4229	I
4230	I
4231	I
4232	I
4233	P
4234	I
4235	Exh
4236	I
4237	I
4238	E
4239	I
4240	I
4241	I
4242	I
4243	I
4244	I
4245	I
4246	Exh
4247	I
4248	I
4249	E
4250	Exh
4251	I
4252	I
4253	I
4254	Exh
4255	I
4256	E
4257	E
4258	I
4259	I
4260	I
4261	P
4262	I
4263	I
4264	I
4265	I
4266	I
4267	P
4268	I
4269	I
4270	I
4271	I
4272	I
4273	Exh
4274	I
4275	I
4276	I
4277	M
4278	I
4279	I
4280	I
4281	I
4282	I
4283	I
4284	I
4285	I
4286	I
4287	Exh
4288	I
4289	Exh
4290	I
4291	I
4292	I
4293	I
4294	I
4295	I
4296	E
4297	I
4298	I
4299	E
4300	I
4301	I
4302	I
4303	I
4304	E
4305	Exh
4306	I
4307	I
4308	E
4309	I
4310	I
4311	I
4312	I
4313	I
4314	I
4315	I
4316	I
4317	I
4318	I
4319	I
4320	P
4321	P
4322	I
4323	I
4324	E
4325	I
4326	I
4327	Exh
4328	I
4329	I
4330	I
4331	I
4332	I
4333	I
4334	M
4335	I
4336	I
4337	E
4338	I
4339	P
4340	I
4341	I
4342	P
4343	I
4344	I
4345	I
4346	I
4347	I
4348	E
4349	E
4350	I
4351	E
4352	I
4353	I
4354	E
4355	I
4356	I
4357	I
4358	E
4359	I
4360	P
4361	I
4362	I
4363	I
4364	I
4365	I
4366	E
4367	I
4368	I
4369	I
4370	E
4371	I
4372	I
4373	I
4374	P
4375	I
4376	M
4377	I
4378	I
4379	E
4380	E
4381	I
4382	I
4383	I
4384	E
4385	I
4386	I
4387	I
4388	I
4389	I
4390	I
4391	I
4392	I
4393	I
4394	I
4395	I
4396	E
4397	I
4398	E
4399	I
4400	E
4401	I
4402	I
4403	I
4404	E
4405	E
4406	I
4407	Exh
4408	I
4409	I
4410	I
4411	I
4412	Exh
4413	Exh
4414	I
4415	I
4416	I
4417	I
4418	I
4419	Exh
4420	I
4421	I
4422	I
4423	Exh
4424	I
4425	I
4426	I
4427	I
4428	E
4429	I
4430	I
4431	I
4432	I
4433	I
4434	I
4435	I
4436	I
4437	I
4438	E
4439	E
4440	I
4441	E
4442	I
4443	I
4444	E
4445	I
4446	I
4447	I
4448	I
4449	I
4450	I
4451	I
4452	I
4453	I
4454	Exh
4455	I
4456	I
4457	I
4458	I
4459	I
4460	Exh
4461	I
4462	I
4463	P
4464	E
4465	E
4466	I
4467	I
4468	P
4469	I
4470	E
4471	I
4472	I
4473	I
4474	I
4475	I
4476	I
4477	I
4478	I
4479	E
4480	I
4481	I
4482	I
4483	I
4484	I
4485	I
4486	I
4487	P
4488	E
4489	I
4490	I
4491	I
4492	I
4493	I
4494	I
4495	I
4496	I
4497	I
4498	I
4499	Exh
4500	E
4501	E
4502	I
4503	I
4504	I
4505	E
4506	I
4507	I
4508	I
4509	E
4510	I
4511	I
4512	P
4513	I
4514	P
4515	I
4516	I
4517	I
4518	I
4519	I
4520	E
4521	I
4522	I
4523	I
4524	Exh
4525	I
4526	E
4527	I
4528	I
4529	I
4530	I
4531	I
4532	I
4533	I
4534	I
4535	I
4536	Exh
4537	I
4538	I
4539	I
4540	I
4541	I
4542	I
4543	I
4544	I
4545	I
4546	I
4547	P
4548	I
4549	P
4550	E
4551	I
4552	E
4553	I
4554	P
4555	I
4556	Exh
4557	I
4558	I
4559	I
4560	P
4561	I
4562	I
4563	I
4564	I
4565	I
4566	I
4567	I
4568	Exh
4569	E
4570	I
4571	I
4572	I
4573	I
4574	I
4575	P
4576	I
4577	E
4578	I
4579	E
4580	I
4581	I
4582	I
4583	P
4584	I
4585	I
4586	I
4587	I
4588	I
4589	I
4590	E
4591	I
4592	E
4593	I
4594	I
4595	I
4596	I
4597	Exh
4598	I
4599	I
4600	I
4601	I
4602	I
4603	E
4604	I
4605	I
4606	I
4607	I
4608	I
4609	I
4610	I
4611	E
4612	I
4613	I
4614	E
4615	I
4616	I
4617	I
4618	I
4619	P
4620	E
4621	I
4622	I
4623	I
4624	I
4625	E
4626	E
4627	I
4628	I
4629	I
4630	I
4631	I
4632	Exh
4633	I
4634	I
4635	I
4636	I
4637	I
4638	I
4639	I
4640	I
4641	I
4642	I
4643	I
4644	I
4645	P
4646	I
4647	I
4648	I
4649	I
4650	I
4651	I
4652	I
4653	I
4654	I
4655	P
4656	E
4657	I
4658	E
4659	I
4660	I
4661	I
4662	I
4663	I
4664	M
4665	I
4666	E
4667	I
4668	E
4669	I
4670	I
4671	I
4672	I
4673	E
4674	P
4675	I
4676	I
4677	I
4678	I
4679	I
4680	I
4681	E
4682	I
4683	I
4684	Exh
4685	I
4686	I
4687	I
4688	I
4689	I
4690	E
4691	I
4692	I
4693	I
4694	I
4695	I
4696	I
4697	Exh
4698	I
4699	I
4700	I
4701	I
4702	Exh
4703	I
4704	E
4705	I
4706	I
4707	I
4708	I
4709	M
4710	I
4711	Exh
4712	I
4713	I
4714	I
4715	I
4716	E
4717	I
4718	I
4719	I
4720	I
4721	I
4722	I
4723	I
4724	I
4725	I
4726	I
4727	I
4728	I
4729	I
4730	I
4731	I
4732	I
4733	I
4734	Exh
4735	I
4736	I
4737	I
4738	I
4739	I
4740	P
4741	I
4742	I
4743	E
4744	E
4745	I
4746	E
4747	I
4748	I
4749	I
4750	I
4751	I
4752	I
4753	M
4754	I
4755	M
4756	E
4757	I
4758	I
4759	I
4760	E
4761	I
4762	I
4763	Exh
4764	I
4765	I
4766	E
4767	P
4768	I
4769	I
4770	P
4771	I
4772	I
4773	E
4774	I
4775	I
4776	I
4777	I
4778	I
4779	I
4780	I
4781	I
4782	I
4783	I
4784	I
4785	I
4786	I
4787	I
4788	E
4789	E
4790	M
4791	E
4792	I
4793	I
4794	I
4795	I
4796	E
4797	I
4798	E
4799	I
4800	E
4801	I
4802	I
4803	I
4804	I
4805	I
4806	I
4807	I
4808	I
4809	I
4810	I
4811	I
4812	I
4813	I
4814	I
4815	I
4816	I
4817	I
4818	I
4819	Exh
4820	I
4821	I
4822	I
4823	I
4824	I
4825	I
