	factor_1	factor_2	factor_3
CDA	0.0	0.0	0.0
C1QA	0.0	0.0	0.0
C1QC	0.0	0.0	0.0
C1QB	0.0	0.0	0.0
AL109936.6	0.0	0.0	0.0
RCAN3	0.0	0.0	0.0
AL445648.1	0.0	0.0	0.0
LDLRAP1	0.0	0.0	0.0
AL034380.1	0.0	0.0	0.0
SYTL1	0.0	0.0	0.0
FO393419.2	0.0	0.0	0.0
FAM167B	0.0	0.0	0.0
LCK	0.0	0.0	0.0
ZSCAN20	0.0	0.0	0.0
DNALI1	0.0	0.0	0.0
BMP8A	0.0	0.0	0.0
AL033527.3	0.0	0.0	0.0
TMCO2	0.0	0.0	0.0
TIE1	0.0	0.0	0.0
ARMH1	0.0	0.0	0.0
BTBD19	0.0	0.0	0.0
AL358075.2	0.0	0.0	0.0
LINC00853	0.0	0.0	0.0
AL050343.2	0.0	0.0	0.0
ZFYVE9	0.0	0.0	0.0
ZYG11A	0.0	0.0	0.0
PODN	0.0	0.0	0.0
LEXM	0.0	0.0	0.0
AL035411.3	0.0	0.0	0.0
ROR1	0.0	0.0	0.0
CACHD1	0.0	0.0	0.0
LRRC7	0.0	0.0	0.0
AL354872.2	0.0	0.0	0.0
AC104458.1	0.0	0.0	0.0
AK5	0.0	0.0	0.0
GIPC2	0.0	0.0	0.0
IFI44L	0.0	0.0	0.0
IFI44	0.0	0.0	0.0
LINC01781	0.0	0.0	0.0
AL035706.1	0.0	0.0	0.0
AC099063.4	0.0	0.0	0.0
ZNF326	0.0	0.0	0.0
EPHX4	0.0	0.0	0.0
RPAP2	0.0	0.0	0.0
RPL5	0.0	0.0	0.0
AC105942.1	0.0	0.0	0.0
AL445928.2	0.0	0.0	0.0
CELSR2	0.0	0.0	0.0
CYB561D1	0.0	0.0	0.0
GSTM1	0.0	0.0	0.0
OLFML3	0.0	0.0	0.0
CD2	0.0	0.0	0.0
TENT5C	0.0	0.0	0.0
AC245014.3	0.0	0.0	0.0
CD160	0.0	0.0	0.0
LINC01719	0.0	0.0	0.0
AC239803.1	0.0	0.0	0.0
LINC02804	0.0	0.0	0.0
FCGR1A	0.0	0.0	0.0
CIART	0.0	0.0	0.0
FALEC	0.0	0.0	0.0
AL590133.1	0.0	0.0	0.0
TUFT1	0.0	0.0	0.0
S100A9	0.0	0.0	0.0
RPS27	0.0	0.0	0.0
AQP10	0.0	0.0	0.0
ATP8B2	0.0	0.0	0.0
EFNA1	0.0	0.0	0.0
TRIM46	0.0	0.0	0.0
RXFP4	0.0	0.0	0.0
AL139130.1	0.0	0.0	0.0
TTC24	0.0	0.0	0.0
BCAN	0.0	0.0	0.0
CD1C	0.0	0.0	0.0
MNDA	0.0	0.0	0.0
PYHIN1	0.0	0.0	0.0
FCER1A	0.0	0.0	0.0
FCRL6	0.0	0.0	0.0
AL590560.3	0.0	0.0	0.0
SLAMF7	0.0	0.0	0.0
NUF2	0.0	0.0	0.0
AL158837.1	0.0	0.0	0.0
AL359962.3	0.0	0.0	0.0
XCL1	0.0	0.0	0.0
C1orf112	0.0	0.0	0.0
FMO1	0.0	0.0	0.0
DNM3	0.0	0.0	0.0
FASLG	0.0	0.0	0.0
ZBTB37	0.0	0.0	0.0
C1orf220	0.0	0.0	0.0
AL137796.1	0.0	0.0	0.0
RALGPS2	0.0	0.0	0.0
FAM163A	0.0	0.0	0.0
KIAA1614	0.0	0.0	0.0
