	factor_1	factor_2	factor_3
LINC01596	0.0	0.0	0.0
DBET	0.0	0.0	0.0
ZDHHC11B	0.0	0.0	0.0
AC116351.1	0.0	0.0	0.0
LINC02145	0.0	0.0	0.0
AMACR	0.0	0.0	0.0
AC026741.1	0.0	0.0	0.0
AC008964.1	0.0	0.0	0.0
AC108105.1	0.0	0.0	0.0
AC016642.1	0.0	0.0	0.0
ELOVL7	0.0	0.0	0.0
AC025176.1	0.0	0.0	0.0
MAST4-AS1	0.0	0.0	0.0
AC116337.3	0.0	0.0	0.0
GCNT4	0.0	0.0	0.0
AC008897.2	0.0	0.0	0.0
AC113404.1	0.0	0.0	0.0
AC108174.1	0.0	0.0	0.0
MEF2C	0.0	0.0	0.0
SPATA9	0.0	0.0	0.0
LIX1	0.0	0.0	0.0
EFNA5	0.0	0.0	0.0
AC008467.1	0.0	0.0	0.0
EPB41L4A	0.0	0.0	0.0
AC010267.1	0.0	0.0	0.0
AC093535.1	0.0	0.0	0.0
LMNB1-DT	0.0	0.0	0.0
C5orf63	0.0	0.0	0.0
RAPGEF6	0.0	0.0	0.0
AC116366.2	0.0	0.0	0.0
SMAD5-AS1	0.0	0.0	0.0
AC106791.1	0.0	0.0	0.0
SLC23A1	0.0	0.0	0.0
MZB1	0.0	0.0	0.0
NRG2	0.0	0.0	0.0
CD14	0.0	0.0	0.0
PLAC8L1	0.0	0.0	0.0
PPP2R2B	0.0	0.0	0.0
JAKMIP2	0.0	0.0	0.0
AC114939.1	0.0	0.0	0.0
CSF1R	0.0	0.0	0.0
CD74	0.0	0.0	0.0
SPARC	0.0	0.0	0.0
FAXDC2	0.0	0.0	0.0
AC016571.1	0.0	0.0	0.0
AC008676.1	0.0	0.0	0.0
LINC02227	0.0	0.0	0.0
EBF1	0.0	0.0	0.0
CCNJL	0.0	0.0	0.0
DUSP1	0.0	0.0	0.0
AC008429.1	0.0	0.0	0.0
SNCB	0.0	0.0	0.0
FAM153A	0.0	0.0	0.0
AC140125.3	0.0	0.0	0.0
RNF130	0.0	0.0	0.0
FLT4	0.0	0.0	0.0
PLEKHG4B	0.0	0.0	0.0
AC026748.3	0.0	0.0	0.0
AC026412.3	0.0	0.0	0.0
LINC02236	0.0	0.0	0.0
AC010491.2	0.0	0.0	0.0
AC016575.1	0.0	0.0	0.0
AC024588.1	0.0	0.0	0.0
BASP1	0.0	0.0	0.0
C5orf17	0.0	0.0	0.0
AC008766.1	0.0	0.0	0.0
TTC23L	0.0	0.0	0.0
IL7R	0.0	0.0	0.0
CCDC152	0.0	0.0	0.0
AC025171.5	0.0	0.0	0.0
FST	0.0	0.0	0.0
HSPB3	0.0	0.0	0.0
GZMK	0.0	0.0	0.0
GZMA	0.0	0.0	0.0
AC092354.2	0.0	0.0	0.0
AC092353.1	0.0	0.0	0.0
MAST4	0.0	0.0	0.0
OCLN	0.0	0.0	0.0
TMEM171	0.0	0.0	0.0
ARHGEF28	0.0	0.0	0.0
AC010501.2	0.0	0.0	0.0
F2R	0.0	0.0	0.0
AC008581.1	0.0	0.0	0.0
THBS4	0.0	0.0	0.0
RASGRF2	0.0	0.0	0.0
ATP6AP1L	0.0	0.0	0.0
VCAN	0.0	0.0	0.0
AC109492.1	0.0	0.0	0.0
LINC02161	0.0	0.0	0.0
AC108102.1	0.0	0.0	0.0
FAM81B	0.0	0.0	0.0
LIX1-AS1	0.0	0.0	0.0
CAMK4	0.0	0.0	0.0
STARD4-AS1	0.0	0.0	0.0
AC010261.1	0.0	0.0	0.0
AC114284.1	0.0	0.0	0.0
AC008679.1	0.0	0.0	0.0
CHSY3	0.0	0.0	0.0
CSF2	0.0	0.0	0.0
AC004039.1	0.0	0.0	0.0
TGFBI	0.0	0.0	0.0
REEP2	0.0	0.0	0.0
EGR1	0.0	0.0	0.0
SMIM33	0.0	0.0	0.0
CXXC5	0.0	0.0	0.0
AC011379.2	0.0	0.0	0.0
AC005618.1	0.0	0.0	0.0
AC005740.4	0.0	0.0	0.0
KCTD16	0.0	0.0	0.0
AC011370.1	0.0	0.0	0.0
MARCOL	0.0	0.0	0.0
ABLIM3	0.0	0.0	0.0
AC131025.1	0.0	0.0	0.0
CYFIP2	0.0	0.0	0.0
NIPAL4	0.0	0.0	0.0
AC136424.1	0.0	0.0	0.0
MIR3142HG	0.0	0.0	0.0
ZNF454	0.0	0.0	0.0
AC008610.1	0.0	0.0	0.0
AC008443.6	0.0	0.0	0.0
TUBB2A	0.0	0.0	0.0
F13A1	0.0	0.0	0.0
TXNDC5	0.0	0.0	0.0
ERVFRD-1	0.0	0.0	0.0
ADTRP	0.0	0.0	0.0
GFOD1	0.0	0.0	0.0
AL109914.1	0.0	0.0	0.0
AL138824.1	0.0	0.0	0.0
HIST1H1C	0.0	0.0	0.0
HIST1H1D	0.0	0.0	0.0
AL021807.1	0.0	0.0	0.0
HIST1H2BJ	0.0	0.0	0.0
HIST1H3J	0.0	0.0	0.0
AL662890.1	0.0	0.0	0.0
AL662844.4	0.0	0.0	0.0
ATP6V1G2	0.0	0.0	0.0
LTB	0.0	0.0	0.0
NCR3	0.0	0.0	0.0
VWA7	0.0	0.0	0.0
ZBTB12	0.0	0.0	0.0
PRRT1	0.0	0.0	0.0
AL662884.3	0.0	0.0	0.0
HLA-DRB5	0.0	0.0	0.0
HLA-DRB1	0.0	0.0	0.0
HLA-DQB1	0.0	0.0	0.0
HLA-DOB	0.0	0.0	0.0
HLA-DMB	0.0	0.0	0.0
HLA-DMA	0.0	0.0	0.0
HLA-DPA1	0.0	0.0	0.0
AL591002.1	0.0	0.0	0.0
SLC26A8	0.0	0.0	0.0
Z84485.1	0.0	0.0	0.0
CPNE5	0.0	0.0	0.0
CCDC167	0.0	0.0	0.0
TREML1	0.0	0.0	0.0
GUCA1B	0.0	0.0	0.0
AL355385.1	0.0	0.0	0.0
AARS2	0.0	0.0	0.0
AL096865.1	0.0	0.0	0.0
AL035701.1	0.0	0.0	0.0
ENPP5	0.0	0.0	0.0
AL355353.1	0.0	0.0	0.0
AL512347.1	0.0	0.0	0.0
GCM1	0.0	0.0	0.0
KLHL31	0.0	0.0	0.0
AL021368.1	0.0	0.0	0.0
COL9A1	0.0	0.0	0.0
FO393414.3	0.0	0.0	0.0
GJB7	0.0	0.0	0.0
BACH2	0.0	0.0	0.0
GPR63	0.0	0.0	0.0
CD24	0.0	0.0	0.0
SCML4	0.0	0.0	0.0
LINC01268	0.0	0.0	0.0
TRAPPC3L	0.0	0.0	0.0
FAM184A	0.0	0.0	0.0
KIAA0408	0.0	0.0	0.0
SOGA3	0.0	0.0	0.0
THEMIS	0.0	0.0	0.0
AL355581.1	0.0	0.0	0.0
SAMD3	0.0	0.0	0.0
CCN2	0.0	0.0	0.0
VNN2	0.0	0.0	0.0
SLC2A12	0.0	0.0	0.0
SGK1	0.0	0.0	0.0
AL360178.2	0.0	0.0	0.0
AL031772.1	0.0	0.0	0.0
SYNE1	0.0	0.0	0.0
RGS17	0.0	0.0	0.0
AL589693.1	0.0	0.0	0.0
AL355297.2	0.0	0.0	0.0
AL139330.1	0.0	0.0	0.0
SOD2	0.0	0.0	0.0
AL590286.2	0.0	0.0	0.0
PACRG-AS2	0.0	0.0	0.0
Z97205.2	0.0	0.0	0.0
TCTE3	0.0	0.0	0.0
AL109910.2	0.0	0.0	0.0
IRF4	0.0	0.0	0.0
AL136307.1	0.0	0.0	0.0
AL031123.5	0.0	0.0	0.0
DSP	0.0	0.0	0.0
BMP6	0.0	0.0	0.0
AL022098.1	0.0	0.0	0.0
AL133405.1	0.0	0.0	0.0
AL158198.1	0.0	0.0	0.0
AL132775.1	0.0	0.0	0.0
SOX4	0.0	0.0	0.0
HIST1H4A	0.0	0.0	0.0
HIST1H2AC	0.0	0.0	0.0
AL021918.4	0.0	0.0	0.0
HIST1H3H	0.0	0.0	0.0
HIST1H2BM	0.0	0.0	0.0
HIST1H2BO	0.0	0.0	0.0
OR2B6	0.0	0.0	0.0
AL358933.1	0.0	0.0	0.0
ZKSCAN3	0.0	0.0	0.0
Z98745.1	0.0	0.0	0.0
LINC01556	0.0	0.0	0.0
MOG	0.0	0.0	0.0
MDC1-AS1	0.0	0.0	0.0
AL671883.3	0.0	0.0	0.0
LTA	0.0	0.0	0.0
LST1	0.0	0.0	0.0
AIF1	0.0	0.0	0.0
LY6G6F	0.0	0.0	0.0
MPIG6B	0.0	0.0	0.0
STK19	0.0	0.0	0.0
EGFL8	0.0	0.0	0.0
HLA-DRA	0.0	0.0	0.0
HLA-DQA1	0.0	0.0	0.0
HLA-DPB1	0.0	0.0	0.0
HCG25	0.0	0.0	0.0
RPS18	0.0	0.0	0.0
PHF1	0.0	0.0	0.0
ITPR3	0.0	0.0	0.0
PACSIN1	0.0	0.0	0.0
SCUBE3	0.0	0.0	0.0
RPL10A	0.0	0.0	0.0
PIM1	0.0	0.0	0.0
PTCRA	0.0	0.0	0.0
AL359813.1	0.0	0.0	0.0
TJAP1	0.0	0.0	0.0
RSPH9	0.0	0.0	0.0
CAPN11	0.0	0.0	0.0
AL034374.1	0.0	0.0	0.0
COL19A1	0.0	0.0	0.0
OGFRL1	0.0	0.0	0.0
AL080250.1	0.0	0.0	0.0
MYO6	0.0	0.0	0.0
SH3BGRL2	0.0	0.0	0.0
AL359715.3	0.0	0.0	0.0
AL359715.1	0.0	0.0	0.0
AL589740.1	0.0	0.0	0.0
PRDM1	0.0	0.0	0.0
SOBP	0.0	0.0	0.0
SLC16A10	0.0	0.0	0.0
CCN6	0.0	0.0	0.0
AL360015.1	0.0	0.0	0.0
MARCKS	0.0	0.0	0.0
CALHM6	0.0	0.0	0.0
RSPH4A	0.0	0.0	0.0
C6orf58	0.0	0.0	0.0
ARG1	0.0	0.0	0.0
LINC01013	0.0	0.0	0.0
STX11	0.0	0.0	0.0
RAB32	0.0	0.0	0.0
AKAP12	0.0	0.0	0.0
ESR1	0.0	0.0	0.0
OPRM1	0.0	0.0	0.0
AL627422.2	0.0	0.0	0.0
AL023775.2	0.0	0.0	0.0
CCR6	0.0	0.0	0.0
AL603783.1	0.0	0.0	0.0
PDGFA	0.0	0.0	0.0
PRKAR1B	0.0	0.0	0.0
AC102953.2	0.0	0.0	0.0
AC024028.1	0.0	0.0	0.0
AC006042.4	0.0	0.0	0.0
AC006042.2	0.0	0.0	0.0
AC004852.2	0.0	0.0	0.0
VWDE	0.0	0.0	0.0
CRPPA	0.0	0.0	0.0
STEAP1B	0.0	0.0	0.0
KIAA0087	0.0	0.0	0.0
HOXA9	0.0	0.0	0.0
HOXA10	0.0	0.0	0.0
TRIL	0.0	0.0	0.0
CPVL	0.0	0.0	0.0
RP9	0.0	0.0	0.0
AOAH	0.0	0.0	0.0
TRGC2	0.0	0.0	0.0
TRGJP2	0.0	0.0	0.0
TRGC1	0.0	0.0	0.0
TRGJP	0.0	0.0	0.0
TRGJP1	0.0	0.0	0.0
TRGV9	0.0	0.0	0.0
TRGV8	0.0	0.0	0.0
TRGV7	0.0	0.0	0.0
TRGV6	0.0	0.0	0.0
TRGV4	0.0	0.0	0.0
TRGV2	0.0	0.0	0.0
POU6F2-AS2	0.0	0.0	0.0
AC004837.4	0.0	0.0	0.0
IGFBP3	0.0	0.0	0.0
AC020743.1	0.0	0.0	0.0
AC124014.1	0.0	0.0	0.0
ERV3-1	0.0	0.0	0.0
STX1A	0.0	0.0	0.0
GTF2IRD2	0.0	0.0	0.0
FGL2	0.0	0.0	0.0
STEAP4	0.0	0.0	0.0
AC000058.1	0.0	0.0	0.0
CDK6	0.0	0.0	0.0
PON1	0.0	0.0	0.0
GJC3	0.0	0.0	0.0
GAL3ST4	0.0	0.0	0.0
PCOLCE-AS1	0.0	0.0	0.0
UPK3BL2	0.0	0.0	0.0
FBXL13	0.0	0.0	0.0
EFCAB10	0.0	0.0	0.0
TFEC	0.0	0.0	0.0
AC073130.2	0.0	0.0	0.0
ST7-AS2	0.0	0.0	0.0
AC007938.2	0.0	0.0	0.0
AC009275.1	0.0	0.0	0.0
AC083870.1	0.0	0.0	0.0
SLC13A4	0.0	0.0	0.0
WEE2-AS1	0.0	0.0	0.0
TAS2R38	0.0	0.0	0.0
AC245427.2	0.0	0.0	0.0
EPHA1	0.0	0.0	0.0
CTAGE6	0.0	0.0	0.0
ARHGEF35	0.0	0.0	0.0
AC004877.1	0.0	0.0	0.0
TMEM176B	0.0	0.0	0.0
ATG9B	0.0	0.0	0.0
WDR86	0.0	0.0	0.0
LINC01006	0.0	0.0	0.0
AC147651.1	0.0	0.0	0.0
AC102953.1	0.0	0.0	0.0
AC104129.1	0.0	0.0	0.0
CHST12	0.0	0.0	0.0
AC073343.2	0.0	0.0	0.0
AC006042.1	0.0	0.0	0.0
TSPAN13	0.0	0.0	0.0
SNX10	0.0	0.0	0.0
CREB5	0.0	0.0	0.0
POU6F2	0.0	0.0	0.0
STK17A	0.0	0.0	0.0
AC073115.2	0.0	0.0	0.0
ABCA13	0.0	0.0	0.0
LINC02848	0.0	0.0	0.0
ZNF727	0.0	0.0	0.0
ZNF92	0.0	0.0	0.0
KCTD7	0.0	0.0	0.0
SPDYE21P	0.0	0.0	0.0
NCF1	0.0	0.0	0.0
TRIM73	0.0	0.0	0.0
HSPB1	0.0	0.0	0.0
CD36	0.0	0.0	0.0
ADAM22	0.0	0.0	0.0
AC002383.1	0.0	0.0	0.0
STEAP2	0.0	0.0	0.0
GNG11	0.0	0.0	0.0
PPP1R9A	0.0	0.0	0.0
BHLHA15	0.0	0.0	0.0
AC093799.1	0.0	0.0	0.0
NPTX2	0.0	0.0	0.0
CYP3A43	0.0	0.0	0.0
SERPINE1	0.0	0.0	0.0
COL26A1	0.0	0.0	0.0
ORAI2	0.0	0.0	0.0
AC004884.2	0.0	0.0	0.0
PRKAR2B	0.0	0.0	0.0
LRRN3	0.0	0.0	0.0
CAV2	0.0	0.0	0.0
CAV1	0.0	0.0	0.0
LMOD2	0.0	0.0	0.0
AC000123.1	0.0	0.0	0.0
SMKR1	0.0	0.0	0.0
CPA5	0.0	0.0	0.0
AC007938.3	0.0	0.0	0.0
AC016831.6	0.0	0.0	0.0
LINC00513	0.0	0.0	0.0
AC058791.1	0.0	0.0	0.0
CALD1	0.0	0.0	0.0
AGBL3	0.0	0.0	0.0
CLEC2L	0.0	0.0	0.0
TRBV3-1	0.0	0.0	0.0
TRBV5-1	0.0	0.0	0.0
TRBV6-1	0.0	0.0	0.0
TRBV6-2	0.0	0.0	0.0
TRBV10-1	0.0	0.0	0.0
TRBV11-2	0.0	0.0	0.0
TRBV6-7	0.0	0.0	0.0
TRBV7-9	0.0	0.0	0.0
TRBV13	0.0	0.0	0.0
TRBV14	0.0	0.0	0.0
TRBV16	0.0	0.0	0.0
TRBV18	0.0	0.0	0.0
TRBV21-1	0.0	0.0	0.0
TRBV23-1	0.0	0.0	0.0
TRBV24-1	0.0	0.0	0.0
MTRNR2L6	0.0	0.0	0.0
TRBVB	0.0	0.0	0.0
TRBV27	0.0	0.0	0.0
TRBV29-1	0.0	0.0	0.0
PRSS2	0.0	0.0	0.0
TRBJ1-6	0.0	0.0	0.0
TRBC1	0.0	0.0	0.0
TRBJ2-1	0.0	0.0	0.0
TRBJ2-4	0.0	0.0	0.0
TRBJ2-7	0.0	0.0	0.0
TRBC2	0.0	0.0	0.0
PIP	0.0	0.0	0.0
CNTNAP2	0.0	0.0	0.0
ZNF783	0.0	0.0	0.0
LINC00996	0.0	0.0	0.0
TMEM176A	0.0	0.0	0.0
AC021097.1	0.0	0.0	0.0
AC006372.1	0.0	0.0	0.0
AC100810.7	0.0	0.0	0.0
AF287957.1	0.0	0.0	0.0
AC069185.1	0.0	0.0	0.0
USP17L7	0.0	0.0	0.0
AC021613.1	0.0	0.0	0.0
AC105046.1	0.0	0.0	0.0
AC120193.1	0.0	0.0	0.0
NEFL	0.0	0.0	0.0
CLU	0.0	0.0	0.0
AC021678.2	0.0	0.0	0.0
DUSP4	0.0	0.0	0.0
MBOAT4	0.0	0.0	0.0
AC026979.2	0.0	0.0	0.0
AC026979.1	0.0	0.0	0.0
PLPP5	0.0	0.0	0.0
ZMAT4	0.0	0.0	0.0
CEBPD	0.0	0.0	0.0
AC103769.1	0.0	0.0	0.0
SDR16C5	0.0	0.0	0.0
TOX	0.0	0.0	0.0
AC068389.3	0.0	0.0	0.0
PDE7A	0.0	0.0	0.0
AC009879.4	0.0	0.0	0.0
MYBL1	0.0	0.0	0.0
SLCO5A1	0.0	0.0	0.0
SBSPON	0.0	0.0	0.0
TPD52	0.0	0.0	0.0
C8orf88	0.0	0.0	0.0
FSBP	0.0	0.0	0.0
AP003692.1	0.0	0.0	0.0
AC068189.2	0.0	0.0	0.0
MIR3150BHG	0.0	0.0	0.0
AC018442.2	0.0	0.0	0.0
SNX31	0.0	0.0	0.0
AP003469.2	0.0	0.0	0.0
NCALD	0.0	0.0	0.0
KLF10	0.0	0.0	0.0
AC025370.2	0.0	0.0	0.0
AC012213.3	0.0	0.0	0.0
TRPS1	0.0	0.0	0.0
AC108136.1	0.0	0.0	0.0
AC090921.1	0.0	0.0	0.0
MTSS1	0.0	0.0	0.0
LRATD2	0.0	0.0	0.0
CASC8	0.0	0.0	0.0
AC108925.1	0.0	0.0	0.0
AF230666.1	0.0	0.0	0.0
ST3GAL1	0.0	0.0	0.0
AC011676.1	0.0	0.0	0.0
ARC	0.0	0.0	0.0
LYPD2	0.0	0.0	0.0
AF235103.3	0.0	0.0	0.0
ZNF596	0.0	0.0	0.0
ARHGEF10	0.0	0.0	0.0
AC104964.4	0.0	0.0	0.0
BLK	0.0	0.0	0.0
AC124242.3	0.0	0.0	0.0
SH2D4A	0.0	0.0	0.0
AC103719.1	0.0	0.0	0.0
DMTN	0.0	0.0	0.0
PIWIL2	0.0	0.0	0.0
TNFRSF10A-AS1	0.0	0.0	0.0
AC108449.1	0.0	0.0	0.0
AC087623.1	0.0	0.0	0.0
IDO1	0.0	0.0	0.0
AC087533.1	0.0	0.0	0.0
XKR4	0.0	0.0	0.0
LYN	0.0	0.0	0.0
AC090152.1	0.0	0.0	0.0
AC113143.3	0.0	0.0	0.0
AC022182.1	0.0	0.0	0.0
VXN	0.0	0.0	0.0
AC022893.1	0.0	0.0	0.0
AC027018.1	0.0	0.0	0.0
AC087627.1	0.0	0.0	0.0
AC036214.4	0.0	0.0	0.0
CA3	0.0	0.0	0.0
AC100801.1	0.0	0.0	0.0
LINC00534	0.0	0.0	0.0
LRRC69	0.0	0.0	0.0
SLC26A7	0.0	0.0	0.0
AC117834.1	0.0	0.0	0.0
AC010834.3	0.0	0.0	0.0
AC010834.1	0.0	0.0	0.0
AP003696.1	0.0	0.0	0.0
AP003354.1	0.0	0.0	0.0
BAALC	0.0	0.0	0.0
DCSTAMP	0.0	0.0	0.0
AARD	0.0	0.0	0.0
AC023590.1	0.0	0.0	0.0
AC068228.3	0.0	0.0	0.0
WDYHV1	0.0	0.0	0.0
POU5F1B	0.0	0.0	0.0
MYC	0.0	0.0	0.0
LINC02055	0.0	0.0	0.0
AC011676.3	0.0	0.0	0.0
ZNF707	0.0	0.0	0.0
WDR97	0.0	0.0	0.0
ZNF252P-AS1	0.0	0.0	0.0
AL136979.1	0.0	0.0	0.0
AL354977.1	0.0	0.0	0.0
AL136980.1	0.0	0.0	0.0
AL133480.1	0.0	0.0	0.0
BNC2	0.0	0.0	0.0
MLLT3	0.0	0.0	0.0
IFNA5	0.0	0.0	0.0
AL157937.1	0.0	0.0	0.0
AL353746.1	0.0	0.0	0.0
AQP3	0.0	0.0	0.0
ENHO	0.0	0.0	0.0
AL355377.3	0.0	0.0	0.0
CD72	0.0	0.0	0.0
SIT1	0.0	0.0	0.0
TPM2	0.0	0.0	0.0
SPAG8	0.0	0.0	0.0
PAX5	0.0	0.0	0.0
AL512604.2	0.0	0.0	0.0
AL590399.3	0.0	0.0	0.0
C9orf135-DT	0.0	0.0	0.0
CEMIP2	0.0	0.0	0.0
LINC01474	0.0	0.0	0.0
ALDH1A1	0.0	0.0	0.0
AL137018.1	0.0	0.0	0.0
NMRK1	0.0	0.0	0.0
TLE1	0.0	0.0	0.0
AL353743.2	0.0	0.0	0.0
AL157936.1	0.0	0.0	0.0
FANCC	0.0	0.0	0.0
PTCH1	0.0	0.0	0.0
AL160269.1	0.0	0.0	0.0
ZNF367	0.0	0.0	0.0
ZNF510	0.0	0.0	0.0
HEMGN	0.0	0.0	0.0
AL354726.1	0.0	0.0	0.0
SMC2-AS1	0.0	0.0	0.0
OR13C9	0.0	0.0	0.0
KLF4	0.0	0.0	0.0
AL358779.1	0.0	0.0	0.0
CTNNAL1	0.0	0.0	0.0
TMEM245	0.0	0.0	0.0
AL390067.1	0.0	0.0	0.0
MEGF9	0.0	0.0	0.0
OR1L8	0.0	0.0	0.0
AC007066.3	0.0	0.0	0.0
AK1	0.0	0.0	0.0
FAM102A	0.0	0.0	0.0
ODF2-AS1	0.0	0.0	0.0
AL592211.1	0.0	0.0	0.0
PTGES	0.0	0.0	0.0
AL157938.2	0.0	0.0	0.0
AL157938.3	0.0	0.0	0.0
AL358781.2	0.0	0.0	0.0
DBH-AS1	0.0	0.0	0.0
BX649632.1	0.0	0.0	0.0
FCN1	0.0	0.0	0.0
C9orf116	0.0	0.0	0.0
AL161452.1	0.0	0.0	0.0
CCDC183-AS1	0.0	0.0	0.0
AL807752.5	0.0	0.0	0.0
CLIC3	0.0	0.0	0.0
ABCA2	0.0	0.0	0.0
NPDC1	0.0	0.0	0.0
LRRC26	0.0	0.0	0.0
STPG3-AS1	0.0	0.0	0.0
AL954642.1	0.0	0.0	0.0
KANK1	0.0	0.0	0.0
VLDLR	0.0	0.0	0.0
JAK2	0.0	0.0	0.0
ACER2	0.0	0.0	0.0
AL158206.1	0.0	0.0	0.0
AL355432.1	0.0	0.0	0.0
ANKRD18B	0.0	0.0	0.0
AL356489.3	0.0	0.0	0.0
IL11RA	0.0	0.0	0.0
NPR2	0.0	0.0	0.0
AL161781.2	0.0	0.0	0.0
ZCCHC7	0.0	0.0	0.0
AL513165.1	0.0	0.0	0.0
FAM201A	0.0	0.0	0.0
ANKRD20A4	0.0	0.0	0.0
FAM189A2	0.0	0.0	0.0
ANXA1	0.0	0.0	0.0
CARNMT1-AS1	0.0	0.0	0.0
CEP78	0.0	0.0	0.0
AL162585.1	0.0	0.0	0.0
AL158071.1	0.0	0.0	0.0
SUSD3	0.0	0.0	0.0
NUTM2G	0.0	0.0	0.0
LINC01505	0.0	0.0	0.0
PALM2-AKAP2	0.0	0.0	0.0
ZNF483	0.0	0.0	0.0
UGCG	0.0	0.0	0.0
SLC31A2	0.0	0.0	0.0
ORM1	0.0	0.0	0.0
PAPPA	0.0	0.0	0.0
AL359644.1	0.0	0.0	0.0
AL359636.2	0.0	0.0	0.0
OR1K1	0.0	0.0	0.0
MIR181A2HG	0.0	0.0	0.0
ARPC5L	0.0	0.0	0.0
TTC16	0.0	0.0	0.0
AL162586.2	0.0	0.0	0.0
AL162586.1	0.0	0.0	0.0
AL157935.1	0.0	0.0	0.0
LCN2	0.0	0.0	0.0
AL158151.1	0.0	0.0	0.0
AL161785.2	0.0	0.0	0.0
AL161785.3	0.0	0.0	0.0
AL158207.2	0.0	0.0	0.0
LAMC3	0.0	0.0	0.0
GFI1B	0.0	0.0	0.0
STKLD1	0.0	0.0	0.0
BX649601.1	0.0	0.0	0.0
COL5A1	0.0	0.0	0.0
KCNT1	0.0	0.0	0.0
C9orf163	0.0	0.0	0.0
AL592301.1	0.0	0.0	0.0
DIPK1B	0.0	0.0	0.0
AJM1	0.0	0.0	0.0
PTGDS	0.0	0.0	0.0
NLGN4X	0.0	0.0	0.0
AC004554.2	0.0	0.0	0.0
PIR	0.0	0.0	0.0
AP1S2	0.0	0.0	0.0
BEND2	0.0	0.0	0.0
AL807742.1	0.0	0.0	0.0
KLHL34	0.0	0.0	0.0
AL592156.2	0.0	0.0	0.0
AC108879.1	0.0	0.0	0.0
LINC01281	0.0	0.0	0.0
CFP	0.0	0.0	0.0
PCSK1N	0.0	0.0	0.0
PIM2	0.0	0.0	0.0
FOXP3	0.0	0.0	0.0
DGKK	0.0	0.0	0.0
SHROOM4	0.0	0.0	0.0
WNK3	0.0	0.0	0.0
NLRP2B	0.0	0.0	0.0
ASB12	0.0	0.0	0.0
AL139398.1	0.0	0.0	0.0
CXCR3	0.0	0.0	0.0
ERCC6L	0.0	0.0	0.0
CITED1	0.0	0.0	0.0
XIST	0.0	0.0	0.0
NEXMIF	0.0	0.0	0.0
PGAM4	0.0	0.0	0.0
ITM2A	0.0	0.0	0.0
POF1B	0.0	0.0	0.0
TSPAN6	0.0	0.0	0.0
SYTL4	0.0	0.0	0.0
XKRX	0.0	0.0	0.0
ZMAT1	0.0	0.0	0.0
BEX2	0.0	0.0	0.0
SLC25A53	0.0	0.0	0.0
NUP62CL	0.0	0.0	0.0
TRPC5	0.0	0.0	0.0
TENM1	0.0	0.0	0.0
MCF2	0.0	0.0	0.0
LDOC1	0.0	0.0	0.0
PDZD4	0.0	0.0	0.0
AC244090.3	0.0	0.0	0.0
IL3RA	0.0	0.0	0.0
AL683807.1	0.0	0.0	0.0
CLCN4	0.0	0.0	0.0
OFD1	0.0	0.0	0.0
BMX	0.0	0.0	0.0
PHKA2-AS1	0.0	0.0	0.0
EIF1AX-AS1	0.0	0.0	0.0
CNKSR2	0.0	0.0	0.0
SAT1	0.0	0.0	0.0
MAGEB2	0.0	0.0	0.0
LANCL3	0.0	0.0	0.0
XK	0.0	0.0	0.0
CYBB	0.0	0.0	0.0
CCNB3	0.0	0.0	0.0
AL158055.1	0.0	0.0	0.0
TSPYL2	0.0	0.0	0.0
PAGE2	0.0	0.0	0.0
KLF8	0.0	0.0	0.0
FAAH2	0.0	0.0	0.0
LINC00891	0.0	0.0	0.0
TSIX	0.0	0.0	0.0
SLC16A2	0.0	0.0	0.0
P2RY10	0.0	0.0	0.0
GPR174	0.0	0.0	0.0
DACH2	0.0	0.0	0.0
FAM133A	0.0	0.0	0.0
TCEAL7	0.0	0.0	0.0
BEX3	0.0	0.0	0.0
MORF4L2-AS1	0.0	0.0	0.0
RADX	0.0	0.0	0.0
FRMPD3	0.0	0.0	0.0
PGRMC1	0.0	0.0	0.0
RHOXF1-AS1	0.0	0.0	0.0
AC002377.1	0.0	0.0	0.0
AL359851.1	0.0	0.0	0.0
SMIM10L2A	0.0	0.0	0.0
FHL1	0.0	0.0	0.0
LINC00892	0.0	0.0	0.0
CD40LG	0.0	0.0	0.0
FMR1-IT1	0.0	0.0	0.0
BX546450.2	0.0	0.0	0.0
PLXNA3	0.0	0.0	0.0
AC009494.2	0.0	0.0	0.0
